w, user5952875239596136740, 1000
w, user3339209904021769693, 1000
w, user45774583492855434, 1000
w, user6269821708803135155, 1000
w, user3564607206243057240, 1000
w, user5590051723848587943, 1000
w, user8883487044377502202, 1000
w, user2659439919067222481, 1000
w, user6541096057564973084, 1000
w, user2750989086052933349, 1000
w, user542446234475980910, 1000
w, user5681600890834298811, 1000
w, user2976386388274220896, 1000
w, user6178272541817424287, 1000
w, user8975036211363213070, 1000
w, user3247660737036058825, 1000
w, user7129316875533809428, 1000
w, user2162768268084097005, 1000
w, user1130667052444817254, 1000
w, user5093380072865462467, 1000
w, user2388165570305384552, 1000
w, user6766493359786260631, 1000
w, user8386815393394376726, 1000
w, user3835881555004895169, 1000
w, user7818800869821190567, 1000
w, user8395627796920771640, 1000
w, user3354170055886011749, 1000
w, user2518447444545974446, 1000
w, user4766719594325630125, 1000
w, user2534404187358040716, 1000
w, user9215393665448742673, 1000
w, user3930996982985592822, 1000
w, user8407021687790026911, 1000
w, user7807406978951935296, 1000
w, user3942390873854848093, 1000
w, user3106668262514810790, 1000
w, user4178498776356793781, 1000
w, user1946183369389204372, 1000
w, user8643129590291972599, 1000
w, user3342776165016756478, 1000
w, user8995242505758863255, 1000
w, user7219186160983098952, 1000
w, user4530611691823684437, 1000
w, user3694889080483647134, 1000
w, user3590277958387957437, 1000
w, user1357962551420368028, 1000
w, user8054908772323136255, 1000
w, user2754555347047920134, 1000
w, user8863280749981852017, 1000
w, user6630965343014262608, 1000
w, user5118832509792520781, 1000
w, user4283109898452483478, 1000
w, user3002057140419121093, 1000
w, user769741733451531684, 1000
